2025-02-25 10:10:56,988 - __main__ - INFO - 전면 근육 데이터 수집 시작
2025-02-25 10:14:22,962 - __main__ - INFO - 데이터 수집 완료: 100개 항목
2025-02-25 10:14:22,962 - __main__ - INFO - 결과 저장 완료: data/raw/muscle_data_20250225_101422.json
2025-02-25 10:21:25,644 - __main__ - INFO - 전면 근육 데이터 수집 시작
2025-02-25 10:22:21,221 - __main__ - INFO - 데이터 수집 완료: 10개 항목
2025-02-25 10:22:21,221 - __main__ - INFO - 결과 저장 완료: data/raw/muscle_data_20250225_102221.json
2025-02-25 10:31:49,047 - __main__ - INFO - 전면 근육 데이터 수집 시작
2025-02-25 10:31:49,062 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND pectoralis major stretching'
2025-02-25 10:31:49,892 - __main__ - INFO - PubMed 검색 결과: 대흉근, 50개 논문 ID 발견
2025-02-25 10:31:49,892 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/50
2025-02-25 10:31:54,505 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/50
2025-02-25 10:31:57,175 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 21/50
2025-02-25 10:31:59,854 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 31/50
2025-02-25 10:32:02,423 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 41/50
2025-02-25 10:32:06,630 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND chest stretching'
2025-02-25 10:32:07,012 - __main__ - INFO - PubMed 검색 결과: 대흉근, 13개 논문 ID 발견
2025-02-25 10:32:07,013 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/13
2025-02-25 10:32:09,926 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/13
2025-02-25 10:32:11,694 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND posture correction'
2025-02-25 10:32:12,079 - __main__ - INFO - PubMed 검색 결과: 대흉근, 22개 논문 ID 발견
2025-02-25 10:32:12,079 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/22
2025-02-25 10:32:15,621 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/22
2025-02-25 10:32:18,860 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 21/22
2025-02-25 10:32:24,301 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND sternocleidomastoid stretching'
2025-02-25 10:32:25,094 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 50개 논문 ID 발견
2025-02-25 10:32:25,095 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/50
2025-02-25 10:32:28,015 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/50
2025-02-25 10:32:30,770 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/50
2025-02-25 10:32:33,495 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/50
2025-02-25 10:32:36,178 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 41/50
2025-02-25 10:32:40,268 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND neck stretching'
2025-02-25 10:32:40,712 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 50개 논문 ID 발견
2025-02-25 10:32:40,712 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/50
2025-02-25 10:32:44,555 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/50
2025-02-25 10:32:47,322 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/50
2025-02-25 10:32:50,235 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/50
2025-02-25 10:32:53,888 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 41/50
2025-02-25 10:32:57,415 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND forward head posture'
2025-02-25 10:32:57,782 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 31개 논문 ID 발견
2025-02-25 10:32:57,783 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/31
2025-02-25 10:33:02,180 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/31
2025-02-25 10:33:04,934 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/31
2025-02-25 10:33:08,037 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/31
2025-02-25 10:33:12,633 - __main__ - INFO - 데이터 수집 완료: 100개 항목
2025-02-25 10:33:12,633 - __main__ - INFO - 결과 저장 완료: data/raw/muscle_data_20250225_103312.json
2025-02-25 10:34:06,844 - __main__ - INFO - 전면 근육 데이터 수집 시작
2025-02-25 10:34:06,859 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND pectoralis major stretching'
2025-02-25 10:34:07,627 - __main__ - INFO - PubMed 검색 결과: 대흉근, 50개 논문 ID 발견
2025-02-25 10:34:07,627 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/50
2025-02-25 10:34:10,546 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/50
2025-02-25 10:34:13,246 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 21/50
2025-02-25 10:34:16,233 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 31/50
2025-02-25 10:34:19,461 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 41/50
2025-02-25 10:34:24,612 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND chest stretching'
2025-02-25 10:34:24,992 - __main__ - INFO - PubMed 검색 결과: 대흉근, 13개 논문 ID 발견
2025-02-25 10:34:24,993 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/13
2025-02-25 10:34:29,470 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/13
2025-02-25 10:34:31,248 - __main__ - INFO - PubMed 검색 시작: 대흉근, 검색어: 'pectoralis major AND posture correction'
2025-02-25 10:34:31,643 - __main__ - INFO - PubMed 검색 결과: 대흉근, 22개 논문 ID 발견
2025-02-25 10:34:31,643 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 1/22
2025-02-25 10:34:35,390 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 11/22
2025-02-25 10:34:38,738 - __main__ - INFO - PubMed 논문 처리 중: 대흉근, 21/22
2025-02-25 10:34:44,870 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND sternocleidomastoid stretching'
2025-02-25 10:34:46,260 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 50개 논문 ID 발견
2025-02-25 10:34:46,261 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/50
2025-02-25 10:34:49,000 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/50
2025-02-25 10:34:51,959 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/50
2025-02-25 10:34:55,254 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/50
2025-02-25 10:34:58,540 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 41/50
2025-02-25 10:35:03,157 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND neck stretching'
2025-02-25 10:35:05,101 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 50개 논문 ID 발견
2025-02-25 10:35:05,102 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/50
2025-02-25 10:35:08,402 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/50
2025-02-25 10:35:11,699 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/50
2025-02-25 10:35:14,906 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/50
2025-02-25 10:35:18,812 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 41/50
2025-02-25 10:35:22,241 - __main__ - INFO - PubMed 검색 시작: 흉쇄유돌근, 검색어: 'sternocleidomastoid AND forward head posture'
2025-02-25 10:35:22,621 - __main__ - INFO - PubMed 검색 결과: 흉쇄유돌근, 31개 논문 ID 발견
2025-02-25 10:35:22,622 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 1/31
2025-02-25 10:35:25,656 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 11/31
2025-02-25 10:35:28,242 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 21/31
2025-02-25 10:35:31,351 - __main__ - INFO - PubMed 논문 처리 중: 흉쇄유돌근, 31/31
2025-02-25 10:35:35,882 - __main__ - INFO - PubMed 검색 시작: 복직근, 검색어: 'rectus abdominis AND rectus abdominis stretching'
2025-02-25 10:35:36,701 - __main__ - INFO - PubMed 검색 결과: 복직근, 50개 논문 ID 발견
2025-02-25 10:35:36,701 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 1/50
2025-02-25 10:35:39,549 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 11/50
2025-02-25 10:35:42,504 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 21/50
2025-02-25 10:35:45,766 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 31/50
2025-02-25 10:35:48,897 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 41/50
2025-02-25 10:35:53,103 - __main__ - INFO - PubMed 검색 시작: 복직근, 검색어: 'rectus abdominis AND abdominal stretching'
2025-02-25 10:35:53,500 - __main__ - INFO - PubMed 검색 결과: 복직근, 43개 논문 ID 발견
2025-02-25 10:35:53,500 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 1/43
2025-02-25 10:35:56,401 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 11/43
2025-02-25 10:36:02,696 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 21/43
2025-02-25 10:36:05,411 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 31/43
2025-02-25 10:36:08,860 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 41/43
2025-02-25 10:36:10,668 - __main__ - INFO - PubMed 검색 시작: 복직근, 검색어: 'rectus abdominis AND core exercise'
2025-02-25 10:36:11,264 - __main__ - INFO - PubMed 검색 결과: 복직근, 50개 논문 ID 발견
2025-02-25 10:36:11,264 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 1/50
2025-02-25 10:36:19,103 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 11/50
2025-02-25 10:36:21,988 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 21/50
2025-02-25 10:36:25,870 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 31/50
2025-02-25 10:36:28,596 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 41/50
2025-02-25 10:36:36,089 - __main__ - INFO - PubMed 검색 시작: 외복사근, 검색어: 'external oblique AND external oblique stretching'
2025-02-25 10:36:36,899 - __main__ - INFO - PubMed 검색 결과: 외복사근, 50개 논문 ID 발견
2025-02-25 10:36:36,899 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 1/50
